dataset,algo,use_contrastive,seed,agent_id,avg_acc,final_acc,forward,backward,catastrophic
kmnist,modular,True,seed_1,agent_1,0.8950472222222222,0.89075,0.5213333333333333,-0.0021666666666666796,-0.44999999999999857
kmnist,modular,True,seed_1,agent_2,0.8628416666666666,0.8449166666666666,0.5,0.0023999999999999946,0.7333333333333341
kmnist,modular,True,seed_1,agent_6,0.8783486111111113,0.8424166666666665,0.5003333333333333,-0.0006666666666666747,-0.799999999999997
kmnist,modular,True,seed_1,agent_7,0.8552277777777778,0.8075,0.5484166666666667,-0.0037000000000000145,2.616666666666669
kmnist,modular,True,seed_1,agent_69420,0.8805,0.8805,0.5,0.3828333333333333,0.0
kmnist,modular,True,seed_1,agent_4,0.8478458333333334,0.8851666666666667,0.5246666666666667,0.0005333333333333338,-0.10833333333333066
kmnist,modular,True,seed_1,agent_3,0.8489347222222223,0.778,0.5,-0.0011333333333333122,1.8916666666666655
kmnist,modular,True,seed_1,agent_0,0.8519402777777777,0.8424999999999999,0.52625,0.0004333333333333448,0.09166666666666581
kmnist,modular,True,seed_1,agent_5,0.8850930555555555,0.8564166666666666,0.49983333333333335,-0.00013333333333332605,0.26666666666666694
kmnist,modular,True,seed_2,agent_1,0.8469097222222223,0.8534166666666666,0.5,-0.001699999999999983,-1.5250000000000006
kmnist,modular,True,seed_2,agent_2,0.8619194444444443,0.8424999999999999,0.4975833333333333,-0.00046666666666667447,-0.9500000000000008
kmnist,modular,True,seed_2,agent_6,0.8475916666666666,0.8290833333333335,0.49091666666666667,0.00023333333333334463,-0.5916666666666663
kmnist,modular,True,seed_2,agent_7,0.8366097222222222,0.8229999999999998,0.5,-0.00013333333333331125,-0.008333333333332416
kmnist,modular,True,seed_2,agent_69420,0.870125,0.870125,0.5,0.38033333333333336,0.0
kmnist,modular,True,seed_2,agent_4,0.8354624999999999,0.8311666666666667,0.5153333333333333,-0.003733333333333322,-1.8166666666666702
kmnist,modular,True,seed_2,agent_3,0.8296513888888888,0.7970833333333335,0.5149166666666667,-0.0005666666666666635,-0.5416666666666643
kmnist,modular,True,seed_2,agent_0,0.8438680555555554,0.8334166666666666,0.5,0.000766666666666671,-0.13333333333333347
kmnist,modular,True,seed_2,agent_5,0.8280527777777777,0.8080833333333333,0.5,-0.0059333333333333235,0.216666666666665
kmnist,modular,True,seed_3,agent_1,0.8843180555555556,0.8474166666666667,0.5194166666666666,0.0011666666666666713,-1.1666666666666694
kmnist,modular,True,seed_3,agent_2,0.8609222222222223,0.8508333333333334,0.5,-0.001566666666666657,-3.158333333333333
kmnist,modular,True,seed_3,agent_6,0.8446236111111113,0.7880833333333334,0.5175833333333334,0.0022666666666666686,0.6666666666666672
kmnist,modular,True,seed_3,agent_7,0.8682083333333334,0.8739166666666666,0.49174999999999996,-0.0005666666666666708,-0.4999999999999986
kmnist,modular,True,seed_3,agent_69420,0.885875,0.885875,0.5,0.38883333333333336,0.0
kmnist,modular,True,seed_3,agent_4,0.8431763888888888,0.8179166666666666,0.5,-0.0011999999999999862,1.366666666666666
